iba_label,iba_name,longitude,latitude,area_ha
CH011,Lake Neuchâtel: southern shore,6.9167,46.8667,6800
CH012,Klingnau reservoir,8.2167,47.55,410
CH013,End of Lake Constance and river Rhine u,8.8167,47.6333,480
CH014,Lake Constance: Bay of Ermatingen,9.0667,47.65,530
CH015,Lake Constance: Bay of Constance,9.25,47.6333,230
CH016,Pre-alpine region of Pays d'Enhaut,7.1667,46.4667,37100
CH017,Pre-alpine region of Gurnigel,7.4167,46.7333,16800
CH018,Augstmatthorn,7.9667,46.75,17200
CH019,Pre-alpine region of Schwyz,8.8167,47.0167,35600
CH020,Upper Toggenburg and Säntis,9.3,47.1833,38600
CH021,Central Valais between Sierre and Visp,7.8167,46.3333,27800
CH024,Heinzenberg mountain and surrounding va,9.3167,46.7333,29000
CH028,Maggia valley,8.7333,46.25,14700
CH029,Bolle di Magadino,8.9,46.1333,1400
CH030,Generoso mountain,9.0333,45.9,6100
CY001,Klidhes Islands,34.6,35.7,15
CY005,Larnaca salt-lakes,33.6167,34.8667,1850
CY007,Akrotiri salt-lake including Bishop's P,32.9667,34.6167,4000
CZ001,Krkonose mountains (Giant mountains),15.6333,50.7,54800
CZ002,Zehunský rybník pond,15.3167,50.1667,1964
CZ003,Krivoklatsko (Krivoklatsko region),13.8666,50,62524
CZ004,Doupov hills,13.1166,50.25,63117
CZ005,Sumava mountains (Bohemian forest),13.6667,48.9333,168338
CZ006,Rezabinec pond,14.0833,49.25,111
CZ007,Dehtár pond,14.2833,49,341
CZ008,Trebonsko (Trebon region),14.7667,49,73251
CZ009,Nove Mlyny middle reservoir,16.6,48.9,1046
CZ010,Pálava,16.6667,48.8166,8539
CZ011,Lednicke rybniky ponds (Lednice fish-po,16.7166,48.7666,685
CZ012,Confluence of the Morava (March) and Dy,16.9666,48.7,9576
CZ013,Beskydy mountains,18.3667,49.4333,120386
CZ014,Poodri,18.0166,49.6666,8043
CZ015,Hermansky stav pond-Struzka wetlands,18.3166,49.8833,5041
CZ016,Jeseniky mountains,17.2167,50.1,74369
DE004,Flensburger Innen- and Aussenförde,9.6,54.8666,10200
DE005,Schlei,9.83333,54.5833,2665
DE006,Southern shore of Eckernförder Bucht,10.0666,54.45,5130
DE007,Stoller Grund,10.2,54.5166,2200
DE008,Coastline of Probstei,10.35,54.4166,9680
DE009,Selenter See,10.45,54.3,2141
DE010,Grosser Plöner See,10.4166,54.1333,3038
DE011,Warder See,10.4166,53.9666,1900
DE013,Grosser and Kleiner Binnensee,10.6333,54.3333,630
DE017,East- and south-east coast of Fehmarn,11.2833,54.4166,2700
DE018,Eastern bight of the Fehmarnsund,11.1333,54.3833,2930
DE021,Neustädter Bucht,10.75,54.0333,2050
DE022,Brodtener Ufer,10.8666,53.9833,800
DE023,Traveförde and Dassower See,10.9166,53.9166,1500
DE024,Lowlands of the Rivers Eider,9.33333,54.3833,60000
DE025,Pinneberg Elbe lowlands,9.4,53.8166,7600
DE026,Aukrug Nature Park,9.71666,54.1,41000
DE027,Lauenburgische Seen Nature Park and Sch,10.7833,53.65,47400
DE028,Kühren Teich and Lanker See,10.3,54.2166,470
DE031,Heidmoor lowlands,10.5,54.0333,338
DE032,Sachsenwald,10.3666,53.5333,7336
DE034,Hamburg Wadden Sea National Park,8.41666,53.9166,13750
DE035,Duvenstedter Brook,10.1666,53.7166,780
DE036,Mühlenberger Loch,9.8,53.5333,675
DE040,Pomeranian bay,14.0833,54.3,333425
DE043,Lakes of Schwerin,11.6166,53.7833,74800
DE044,Greifswalder Bodden,13.5166,54.2166,103155
DE045,Island of Usedom,14.0166,53.9333,27790
DE046,Usedom lagoon (Peenestrom,13.9166,53.9166,49920
DE047,Schaalsee,11,53.6666,25660
DE048,Lewitz,11.6333,53.4666,15780
DE049,Nossentiner-/Schwinzer Heide with Krako,12.2833,53.5333,45850
DE050,Eastern shore of Lake Müritz,12.9,53.35,46870
DE052,Southern Tollense basin,13.1666,53.45,8660
DE053,Peenetal (Peenetalmoor and Anklamer Sta,13.7833,53.85,30530
DE054,Putzarer See,13.75,53.65,31510
DE055,Ueckermünder Heide,14.1666,53.6333,31370
DE056,Woodlands of Western Pomerania,12.8166,54.2333,23760
DE058,Lower Saxony Wadden Sea National Park,8.16666,53.55,235071
DE059,Riddagshäuser Teiche,10.5833,52.2833,475
DE060,Drömling,10.9,52.4833,4285
DE061,Barnbruch,10.7,52.45,2567
DE062,Wendesser moor,10.2333,52.3666,160
DE063,Ems valley between Leer and Emden,7.33333,53.3166,2080
DE064,Terborg,7.4,53.3,1956
DE065,Lower reaches of River Weser,8.5,53.35,4163
DE067,Landgraben and Dumme lowlands,11.3,52.9,7006
DE068,Rheiderland,7.3,53.25,15521
DE069,Winsener Elbmarsch,10.2,53.3833,852
DE070,Lucie and Landwehr,11.2333,53.05,8023
DE071,Weser valley near Stolzenau and Landesb,9.08333,52.5333,1254
DE072,Upper Aller lowlands,10.2333,52.5833,767
DE073,Seeburger See,10.1666,51.5666,123
DE074,Viehmoor with Leiferder Teiche,10.4666,52.45,302
DE075,Heerter See,10.3833,52.1166,316
DE077,Aper Tief,7.71666,53.2,2103
DE079,Kleinringer and Großringer Wösten,6.91666,52.6333,1166
DE081,Groß Fullener Moor,7.13333,52.6666,6683
DE082,Leeg-,7.55,53,2090
DE084,Leda-Jümme lowlands,7.58333,53.2166,5526
DE087,Südradde lowlands,7.73333,52.7666,6384
DE088,Leine valley near Salzderhelden,9.95,51.75,1150
DE089,Valley of River Ems,7.28333,53.0333,8487
DE091,Engerhafer Meede,7.25,53.4833,2625
DE092,Alfsee,7.96666,52.4833,351
DE094,Norden-Esens,7.88333,53.6666,10485
DE095,Wittmund-Wangerland,7.88333,53.7,7882
DE096,Krummhörn-Westermarsch,7.06666,53.4833,13176
DE097,Lower Aller lowlands,9.56666,52.7666,6879
DE098,Ostenholzer Moor and Meissendorfer Teic,9.76666,52.7166,3454
DE099,Steinhuder Meer,9.33333,52.4666,7292
DE100,Diepholzer Moorniederung and Siedener M,8.75,52.55,14930
DE101,Dümmer,8.33333,52.5,4992
DE102,Hamme lowlands,8.9,53.25,7975
DE103,Hunte lowlands near Oldenburg,8.33333,53.1666,937
DE104,Ostfriesische Meere,7.3,53.4333,5877
DE105,Tinner Dose and Staverner Dose,7.38333,52.8,4806
DE106,Elbe lowlands between Schnackenburg and,10.75,53.3,53919
DE107,Elbe marshes between Stade and Otterndo,9.16666,53.85,19310
DE108,Fehntjer Tief,7.46666,53.3666,4556
DE111,Land Wursten,8.53333,53.7,7413
DE113,Lowlands of River Ems near Lathen,7.3,52.8666,2974
DE114,Lüneburger Heide,9.91666,53.15,23458
DE116,Blockland - lower Wümme valley - Westli,8.83333,53.1333,3496
DE118,Niedervieland,8.68333,53.1,2310
DE119,Mittelwesermarsch,8.86666,53.0333,483
DE120,Middle Elbe valley with Steckby-Lödderi,12.2666,51.8,18272
DE121,Zerbster Land,12.05,52,6207
DE122,Helme reservoir Berga-Kelbra,11,51.4333,1454
DE123,Hakel,11.3333,51.8833,6441
DE124,Aland-Elbe lowlands,11.7,52.9833,4234
DE125,Drömling,11.1166,52.4666,4285
DE126,Landgraben-Dumme lowlands,10.9833,52.8666,2577
DE127,Milde lowlands/Altmark,11.5,52.6833,2207
DE128,Elbe lowlands Jerichow,11.9833,52.5,4371
DE129,Saale-Elster valley,12.0166,51.3833,5819
DE130,Wulfener Bruch and Teichgebiet Osternie,11.9666,51.8333,2171
DE131,Ploetzkau flood-plain forest,11.7,51.75,385
DE132,Fiener Bruch,12.2166,52.3166,8489
DE133,Salziger See and Salza valley,11.7333,51.4833,650
DE134,North-eastern lower Harz mountains,11.0666,51.7,16988
DE135,Hudewälder northeast of Haldensleben,11.5333,52.3333,4371
DE136,Spreewald,13.8833,51.95,47344
DE137,Lowlands of middle Havel,12.6666,52.4666,41874
DE138,Oberes Rhinluch / Havelländisches Luch,12.8833,52.75,58614
DE139,Döberitzer Heide,13.0333,52.5,3926
DE141,Peitzer und Bärenbrücker Teiche,14.4166,51.85,1572
DE142,Lower Oder valley,14.15,52.9833,11779
DE143,Schorfheide-Chorin,13.8666,53,62769
DE144,Deichvorland Oderbruch,14.45,52.6666,3158
DE145,Unteres Rhinluch-Dreetzer See / Havellä,12.55,52.75,15805
DE146,Uckermark lake region,13.5333,53.2166,54518
DE147,Stechlin,13,53.1166,7928
DE148,Märkische Schweiz,14.0833,52.55,17863
DE149,Lower Elbe valley,11.65,53.0166,53110
DE150,Military training area east and west of,13.1666,52.0333,18147
DE151,Lower Havel - Lake Schollene - Lake Gül,12.2666,52.75,16775
DE152,Banks of the Müggelspree,13.6833,52.4333,16
DE154,Schwalm-Nette-Platte and Grenzwald,6.21666,51.2166,10736
DE155,Bogs and heathlands of the Westmünsterl,6.9,52.1666,5170
DE156,Hellwegbörde,8.31666,51.6,57675
DE157,Weserstaustufe Schlüsselburg,9.03333,52.45,3320
DE158,Bastau lowlands,8.76666,52.3166,3587
DE159,Wahner Heide,7.16666,50.8666,4502
DE160,Lower Rhine,6.4,51.7666,48295
DE161,Heubachniederung/ Schwarzes Venn/ Borke,7.13333,51.8,7349
DE162,Rieselfelder Münster,7.65,52.0333,584
DE163,Recker Moor/ Düsterdieker Niederung/ Se,7.86666,52.3666,3591
DE165,Emsaue (Rietberger Emsniederung - Stein,8.5,51.8,1617
DE166,Oppenweher Moor,8.5,52.5,487
DE167,Medebacher Bucht,8.66666,51.1833,21633
DE168,Sennelager training area,8.76666,51.8666,11591
DE169,Möhnesee,8.13333,51.4833,1625
DE170,Kellerwald,9,51.05,31000
DE171,Burgwald,8.83333,51,23000
DE174,Knüll,9.41666,50.9,35000
DE175,High Westerwald around Driedorf,8.16666,50.5833,8500
DE177,Lahn valley from Marburg to Wetzlar,8.71666,50.7,6200
DE180,Alluvion of the Lower Schwalm near Bork,9.33333,51.0666,4000
DE181,Hessian Rhine alluvion,8.38333,49.9,10500
DE182,Gladenbach mountains east of Herborn,8.33333,50.6666,9000
DE183,Rheingau,8,50,4700
DE184,Dune and aeolian sand area Dudenhofen,8.91666,50,5000
DE185,Lorsch forest and Vierheim heathland,8.51666,49.6,7000
DE190,Rhäden near Obersuhl and Bosserode,10.0166,50.95,130
DE193,Twiste reservior,9.05,51.35,24
DE194,Rhön Biosphere Reserve,10.0833,50.5,129764
DE195,Herbsleben ponds,10.8666,51.1333,85
DE196,Plothen ponds,11.75,50.6666,2350
DE197,Uhlstädt heathlands,11.25,50.5833,1082
DE200,Meura heathlands,11.1833,50.6,375
DE201,Schwarza valley,11.2166,50.6666,1967
DE202,Vesser valley Biosphere Reserve,10.85,50.5666,17000
DE203,Pressel wooded heath and mire,12.7666,51.5833,10034
DE204,Ponds and Elbe valley near Torgau,13.0166,51.6,14357
DE205,Oberlausitz heathland and fishponds bio,14.5333,51.3166,35000
DE206,Eschefeld ponds,12.5333,51.05,272
DE207,Westerzgebirge around Carlsfeld,12.5833,50.4333,5067
DE209,Grosshartmannsdorfer Grossteich,13.3333,50.8166,153
DE211,Sächsische Schweiz National Park,14.3,50.9166,9298
DE212,Eastern Erzgebirge around Fürstenau,13.8333,50.7666,3477
DE215,Hördter Rheinaue,8.31666,49.05,2000
DE216,Bliesgau,7.16666,49.2,24150
DE217,Wagbach lowlands,8.5,49.2666,1040
DE218,Rhine flats Altlußheim-Mannheim,8.5,49.3833,4504
DE220,Rhine flats Kehl-Helmlingen,7.88333,48.6666,2159
DE222,Rhine flats Nonnenweier - Kehl,7.76666,48.45,3938
DE223,Rhine flats Sasbach - Wittenweier,7.68333,48.25,4811
DE224,Rhine flats Neuenburg - Breisach,7.58333,47.9166,2877
DE225,Rhine flats Haltingen - Neuenburg and f,7.51666,47.7166,1746
DE226,Danube valley Untermarchtal-Ulm,9.8,48.2833,3980
DE227,Konstanzer Bucht of Lake Constance,9.2,47.65,583
DE228,Federseeried,9.61666,48.0833,3273
DE231,Untersee of Lake Constance,9.03333,47.7,6053
DE232,Silzenwiesen and Bruch near Stettfeld,8.61666,49.1666,286
DE233,Philippsburger Altrhein and Rheinschanz,8.45,49.2666,1065
DE238,Kocher and adjoining valleys,9.46666,49.2833,1346
DE239,South-eastern Alb and Upper Danube vall,9,48.1666,104772
DE241,Northern Karlsruhe Hardt,8.43333,49.1,4849
DE242,Lake Überlingen of Lake Constance,9.11666,47.7666,6588
DE243,Jagst and adjoining valleys,9.66666,49.4,2391
DE244,Rhine flats Karlsruhe - Rheinsheim,8.38333,49.1833,5389
DE245,Orchards and vineyards between Waldhaus,9.56666,48.8166,1836
DE246,Wutach ravine,8.41666,47.8666,6869
DE247,Kaiserstuhl,7.66666,48.1,9017
DE248,Stromberg,9,49,11878
DE250,Orchards and oakwoods near Filderstadt,9.21666,48.65,1974
DE251,Enz valley Mühlhausen - Roßwag,8.9,48.95,394
DE252,Schönbuch with Spitzberg,9.05,48.5666,19216
DE253,Orchards,8.86666,48.75,3835
DE254,Vogelfreistätte Mittlere Isar-Stauseen,12,48.4,590
DE255,Rötelsee-Weihergebiet incl. Regenaue an,12.5833,49.2,3059
DE256,Isar valley: Gottfrieding - Plattling i,12.75,48.7333,12754
DE257,Ismaninger Speichersee and fish ponds,11.7333,48.2166,986
DE261,Altmühl valley between Treuchtlingen an,10.7,49.15,6581
DE262,Ammersee,11.1333,48.0166,7500
DE263,Chiemsee and Chiemseemoore,12.45,47.8833,13315
DE264,Danube valley: Regensburg-Vilshofen,12.6333,48.8333,17733
DE265,Mangfall mountains and Rotwand area,11.9,47.5666,16738
DE266,Danube valley: Neu-Ulm - Lauingen incl.,10.2,48.4833,10588
DE267,Karwendel and Karwendel foothills,11.4166,47.5833,19613
DE268,Ammergau mountains,10.9166,47.55,28877
DE269,Nürnberger Reichswald,11.2166,49.4,43581
DE270,Vorderer Steigerwald - Windsheimer Buch,10.3166,49.5833,87984
DE271,Lech-Donau-Winkel: Lechstausee Feldheim,10.9666,48.7166,2317
DE272,Donau-Auen and Donau-Ried: Höchstädt -,10.65,48.5333,8046
DE273,Orchards at the lower Main,9,50.0833,60474
DE274,Charlottenhofer Weihergebiet and Hirtlo,12.1333,49.3,924
DE275,Aisch-Regnitz-Grund,10.9166,49.75,50698
DE276,Starnberger See,11.3,47.9166,5671
DE277,Main valley: Eltmann - Hassfurt,10.6166,49.9833,1263
DE278,Murnauer Moos and Loisach-Kochel-Moore,11.25,47.6666,13444
DE281,Northern Steigerwald,10.55,49.9,20116
DE282,Lower Inn: Haiming - Neuhaus including,13.1666,48.2833,6500
DE283,Rodachaue / Itzgrund / Oberes Maintal i,10.8833,50.25,40000
DE284,Obersee: Schachener Bucht,9.66666,47.55,200
DE285,Manteler Forst,12.0666,49.7,2698
DE286,Sagasbank and eastern coast of Oldenbur,11.15,54.2333,14600
DE287,Eastern part of Kiel Bight,10.9333,54.4666,59800
DE288,Wismar bay and Salzhaff,11.4333,54.0166,102030
DE289,Schleswig-Holstein Wadden Sea National,8.81666,54.4833,441000
DE290,Oldenburger Graben and Wesseker See,10.8166,54.3,3800
DE291,Eastern part of German Bight (with Heli,8.3,54.2,800000
DE292,Forests of Lauenburg,10.55,53.6333,3542
DE293,Lauerholz,10.7666,53.8666,1200
DE294,Haaler Au lowlands,9.51666,54.1833,1000
DE295,Kudensee,9.21666,53.9666,1800
DE298,Gotteskoogsee,8.78333,54.8666,4700
DE299,Kisdorfer Wohld,10.0666,53.8166,720
DE300,Gülzower Holz and Rühlauer Forst,10.5,53.4833,1200
DE301,Upper and middle reaches of river Krück,9.73333,53.7666,2300
DE303,Moorland belt of Süderelbe-Marschrandmo,9.8,53.45,2498
DE304,Coast and lagoons of Western Pomerania,12.9,54.4333,203810
DE305,Serrahn and Woldegk-Feldberger Hügellan,13.4166,53.3833,64310
DE306,Surroundings of Dassower See,11.9833,53.95,11490
DE307,Großer and Kleiner Jasmunder Bodden wit,13.4333,54.5,21790
DE309,Upper and middle reaches of river Warno,11.65,53.6833,8850
DE310,Lower reaches of river Warnow,12.1,53.9333,7900
DE311,Conventer See,11.9166,54.1333,1830
DE312,Mildenitz Seen,11.95,53.6833,6660
DE313,Parumer See,12.1333,53.7666,5960
DE314,Langenhägener Seewiesen,11.9833,53.6,5190
DE316,Mecklenburgische Schweiz,12.7333,53.7166,77210
DE317,Recknitz and Trebel valley,12.7,54.05,67280
DE318,Woodlands of Western Pomerania,13.6166,53.9833,30550
DE319,Elbe valley of Mecklenburg,11.0166,53.3166,41730
DE320,Griese Gegend,11.2,53.2833,7230
DE321,Farmlands north of Ludwigslust,11.4,53.4333,11200
DE322,Farmlands between Crivitz and Parchim,11.7166,53.5,13230
DE323,Retzower Heide,12.1333,53.3666,2150
DE324,Farmlands west and south of Plauer See,12.2166,53.3833,9600
DE325,Mönchsee,12.55,53.2833,3330
DE326,Western shore of Lake Müritz,12.6333,53.4,7950
DE327,Torgelower See and Varchentiner See,12.8,53.5666,6160
DE328,Farmlands near Tützpatz,13.0833,53.7333,15010
DE329,Tollense-Datze-Raum,13.3833,53.6666,14990
DE330,Caselower Heide,5.08333,53.4333,1900
DE331,Dollart,7,53.3333,5052
DE334,Hasbruch,8.5,53.0666,627
DE335,Thülsfeld reservoir,7.93333,52.9333,464
DE336,Ahlhorner fishponds,8.15,52.9333,1578
DE337,Eschebrügger Wösten,6.8,52.6333,1119
DE338,Engdener Wüste,7.2,52.4333,1680
DE339,Gildehauser Venn,7.1,52.2666,797
DE340,Geeste lowlands near Bramel,8.71666,53.5,671
DE341,Huvenhoopsmor and Breddorfer Wiesen,9.1,53.3833,4266
DE342,Drennhauser Hinterdeich,10.2833,53.3833,370
DE343,Ekelmoor (moorlands near Sittensen),9.56666,53.2666,1506
DE344,Hohe Geest near Himbergen / Bad Bodente,10.75,53.0833,16623
DE345,Military training area Munster-Nord,10.1666,53.05,12746
DE347,Military training area Munster-Süd,10.0833,52.95,4090
DE348,Unterlüß / Kiehnmoor,10.2833,52.9,2481
DE349,Military training area Bergen-Hohne,9.83333,52.8,13644
DE350,Aschauteiche and Südheide,10.2833,52.7666,9270
DE351,Mittleres Wietingsmoor,8.65,52.7,2036
DE354,Leine valley Koldingen-Ruthe,9.83333,52.25,620
